section_index,prediction_file,pixel_accuracy,mean_class_accuracy,mean_iou,frequency_weighted_iou,reverse_transition_rate,vtpm_frobenius_to_target,vtpm_mse_to_target,num_transitions,num_traces
105,slice_105_pred.npy,0.868249839165338,0.7977571857825257,0.6778256288970089,0.7822786310920232,0.000982847900075258,0.04065354717650305,4.590863605644887e-05,178054,701
110,slice_110_pred.npy,0.8769824620290342,0.8041763614953221,0.6866418359535653,0.7987194185032809,0.0009996967212194054,0.038316846562959944,4.0782798070261545e-05,178054,701
158,slice_158_pred.npy,0.9126234231210316,0.8008364503307575,0.7029214617222759,0.8515288675478199,0.0005110809080391342,0.046962345896669234,6.126283144773348e-05,178054,701
199,slice_199_pred.npy,0.9586025565718441,0.9018895713574997,0.8438296114502419,0.9238535996819606,7.301155829130488e-05,0.02791083129770289,2.1639291770245314e-05,178054,701
2,slice_2_pred.npy,0.7961455623618919,0.7418166339816389,0.5756404717483822,0.6787771823792823,0.0008761386994956586,0.05343884499369952,7.932528206279568e-05,178054,701
33,slice_33_pred.npy,0.8087773768565915,0.6955456148928586,0.5694432274844414,0.684726782342988,0.000819975962348501,0.03889334249135854,4.201922472639211e-05,178054,701
53,slice_53_pred.npy,0.8203574725182512,0.7074711399538492,0.5912566322672113,0.7047089246465921,0.001010929268648837,0.03762977183501222,3.9333325787641084e-05,178054,701
78,slice_78_pred.npy,0.8477916701630723,0.79650162704207,0.6644359159629867,0.7455394474893264,0.001078324553225426,0.04064514923236442,4.588967100336593e-05,178054,701
