变体,ELL,VTPM,PA,MCA,MIoU,FWIU,RTR(%),VTPM-F
Baseline,否,否,0.8362,0.6645,0.5396,0.7382,1.4865,0.3356
+ELL,是,否,0.8462,0.6591,0.5546,0.7364,1.0718,0.3368
+VTPM,否,是,0.8018,0.6279,0.4982,0.6757,1.0617,0.2650
完整模型,是,是,0.8233,0.6391,0.5227,0.7034,0.8250,0.2946
