epoch,learning_rate,train_loss,train_primary_loss,train_vtpm_loss,validation_loss,validation_miou,validation_pa
1,0.0001,1.2720749107424243,1.2720749107424243,0.0,1.14368856549263,0.7854152311213936,0.9509658813476562
2,0.0001,1.030839660821529,1.030839660821529,0.0,0.9787354946136475,0.8820552032655836,0.9681727091471354
3,0.0001,0.905707763172583,0.905707763172583,0.0,0.896146097779274,0.9349757795756829,0.9805287679036458
4,0.0001,0.8106749252599362,0.8106749252599362,0.0,0.8074318021535873,0.9475194057309323,0.9840611775716146
5,0.0001,0.7261050842145144,0.7261050842145144,0.0,0.7462316304445267,0.9543879069066884,0.9857884724934896
6,0.0001,0.6594350451907953,0.6594350451907953,0.0,0.8653590828180313,0.7147875311666189,0.909112548828125
7,0.0001,0.6226285842977403,0.6226285842977403,0.0,0.6343097344040871,0.9546571828745741,0.9860855102539062
8,0.0001,0.5419950987163343,0.5419950987163343,0.0,0.5954920083284378,0.9628029450777505,0.988170878092448
9,0.0001,0.5218445406065754,0.5218445406065754,0.0,0.562251515686512,0.9642445665299545,0.9885096232096354
10,0.0001,0.4937428919562342,0.4937428919562342,0.0,0.536192299425602,0.9662313809563968,0.9891138712565104
11,0.0001,0.46255481507309254,0.46255481507309254,0.0,0.5313439443707466,0.9619605238489086,0.9882364908854167
12,0.0001,0.45522232035850885,0.45522232035850885,0.0,0.5050714835524559,0.9674206825937189,0.9896631876627604
13,0.0001,0.43079799521002415,0.43079799521002415,0.0,0.49323452562093734,0.969612568969195,0.9903391520182292
14,0.0001,0.4138177988271634,0.4138177988271634,0.0,0.47997844517230986,0.9712432111574093,0.9906041463216145
15,0.0001,0.39475579035579333,0.39475579035579333,0.0,0.46754476577043536,0.970153736728109,0.9906438191731771
16,0.0001,0.4045440822922292,0.4045440822922292,0.0,0.4640657901763916,0.970581926572585,0.9906687418619792
17,0.0001,0.3904663081644645,0.3904663081644645,0.0,0.45730993896722794,0.9717451238913951,0.9912684122721355
18,0.0001,0.3593802781481492,0.3593802781481492,0.0,0.44811193495988844,0.9742581825508477,0.991649881998698
19,0.0001,0.3626223305585972,0.3626223305585972,0.0,0.4409127697348595,0.9752271639054859,0.9922815958658854
20,0.0001,0.354514098563683,0.354514098563683,0.0,0.4361512899398804,0.9748630100242209,0.9919840494791666
21,0.0001,0.3498626435562514,0.3498626435562514,0.0,0.43153268843889236,0.9763181831936228,0.9925908406575521
22,0.0001,0.35369288376493796,0.35369288376493796,0.0,0.42315505892038346,0.9784461410369903,0.993097432454427
23,0.0001,0.32582378412217644,0.32582378412217644,0.0,0.417969685792923,0.9792355530301378,0.9934468587239583
24,0.0001,0.33661937870477376,0.33661937870477376,0.0,0.41351436004042624,0.9784859867328889,0.9933456420898438
25,0.0001,0.34259170491939767,0.34259170491939767,0.0,0.4106536880135536,0.9801157613198126,0.9936457316080729
26,0.0001,0.3046070378572987,0.3046070378572987,0.0,0.4039014711976051,0.9807090815289538,0.9940216064453125
27,0.0001,0.30867839775917605,0.30867839775917605,0.0,0.4069148935377598,0.9785599346654877,0.9935028076171875
28,0.0001,0.3394157486939364,0.3394157486939364,0.0,0.4006414584815502,0.9798307707936685,0.9937103271484375
29,0.0001,0.3073895337921761,0.3073895337921761,0.0,0.4047558084130287,0.9763203530269556,0.9930984497070312
30,2e-05,0.30900143784499234,0.30900143784499234,0.0,0.3919304333627224,0.9806136079893147,0.9939860026041667
31,2e-05,0.28406812679899696,0.28406812679899696,0.0,0.38030883222818374,0.9832852082180045,0.994805908203125
32,2e-05,0.2810667074618247,0.2810667074618247,0.0,0.37773928567767145,0.9837808535217752,0.9948959350585938
33,2e-05,0.27744857715107396,0.27744857715107396,0.0,0.37616397216916087,0.983909552562109,0.9949671427408854
34,2e-05,0.2745184620579194,0.2745184620579194,0.0,0.3762099288403988,0.9841834055051618,0.9950169881184896
35,2e-05,0.256858650006746,0.256858650006746,0.0,0.3733771376311779,0.9843298587022119,0.9951029459635417
36,2e-05,0.2887719259532865,0.2887719259532865,0.0,0.3725139446556568,0.9846678306981159,0.9951507568359375
37,2e-05,0.26266512266486636,0.26266512266486636,0.0,0.3700726754963398,0.9845765514187526,0.9951161702473958
38,2e-05,0.26511598987262336,0.26511598987262336,0.0,0.3708547160029411,0.9845443291326036,0.9951431274414062
39,2e-05,0.24887343258738848,0.24887343258738848,0.0,0.3694080762565136,0.9845738555686775,0.9951568603515625
40,2e-05,0.2510556539009813,0.2510556539009813,0.0,0.3667102135717869,0.9848100805538272,0.9951894124348958
41,2e-05,0.255735292411577,0.255735292411577,0.0,0.3668464615941048,0.9848128951781651,0.9952021280924479
42,2e-05,0.246217597265653,0.246217597265653,0.0,0.36551387012004855,0.984781560872667,0.9952123006184895
43,2e-05,0.2552010086764919,0.2552010086764919,0.0,0.3643408350646496,0.9849701690053593,0.9952458699544271
44,2e-05,0.24944421880132933,0.24944421880132933,0.0,0.3647970952093601,0.9849470253053454,0.9952351888020833
45,2e-05,0.24607950820486962,0.24607950820486962,0.0,0.3644899599254131,0.9851168516446945,0.9952962239583333
46,2e-05,0.23954770988539645,0.23954770988539645,0.0,0.3632298558950424,0.9852194352027785,0.9953155517578125
47,2e-05,0.258961557433876,0.258961557433876,0.0,0.36068407371640204,0.9852071463641398,0.9953084309895833
48,2e-05,0.23292621351014875,0.23292621351014875,0.0,0.3601875826716423,0.9847542611103703,0.995227559407552
49,2e-05,0.24493875088288844,0.24493875088288844,0.0,0.35775892063975334,0.9852183884935042,0.9953150431315104
50,2e-05,0.2417237389203254,0.2417237389203254,0.0,0.35685925632715226,0.9852063161483956,0.9953038533528645
51,2e-05,0.22483104120661349,0.22483104120661349,0.0,0.355507779866457,0.9852136108975557,0.9953145345052083
52,2e-05,0.2406158160387314,0.2406158160387314,0.0,0.3578795947134495,0.9850786394845706,0.9953226725260417
53,2e-05,0.23189061991560822,0.23189061991560822,0.0,0.35614023804664613,0.9851502689691872,0.995343017578125
54,2e-05,0.23418986652861673,0.23418986652861673,0.0,0.3565462864935398,0.9849044239824841,0.9952845255533854
55,4.000000000000001e-06,0.2490641039659442,0.2490641039659442,0.0,0.35441418141126635,0.9852847779993792,0.995343017578125
56,4.000000000000001e-06,0.22340552331337968,0.22340552331337968,0.0,0.35376836359500885,0.9855537915373144,0.9954503377278646
57,4.000000000000001e-06,0.21083368571511266,0.21083368571511266,0.0,0.35210953950881957,0.9856201674184396,0.9954259236653645
58,4.000000000000001e-06,0.2251461563100445,0.2251461563100445,0.0,0.35314093604683877,0.9855592113205084,0.9954193115234375
59,4.000000000000001e-06,0.22334171877013018,0.22334171877013018,0.0,0.35228569656610487,0.9855991218624328,0.995427958170573
60,4.000000000000001e-06,0.2200854576277931,0.2200854576277931,0.0,0.353926669806242,0.985725701199279,0.9954503377278646
