epoch,learning_rate,train_loss,train_primary_loss,train_vtpm_loss,validation_loss,validation_miou,validation_pa
1,0.0001,0.8059574694184385,0.8059574694184385,0.0,0.5418832257390023,0.580857151224707,0.9273996988932292
2,0.0001,0.42649297717535595,0.42649297717535595,0.0,0.3522945284843445,0.8947842586295452,0.9767130533854167
3,0.0001,0.296487588053595,0.296487588053595,0.0,0.2549975380301476,0.9383718788093249,0.9834274291992188
4,0.0001,0.22109131519153838,0.22109131519153838,0.0,0.18962996378540992,0.9489171048401778,0.9858057657877605
5,0.0001,0.170167711261567,0.170167711261567,0.0,0.15510583780705928,0.9551437325300541,0.9868067423502604
6,0.0001,0.13371838158682772,0.13371838158682772,0.0,0.11242098920047283,0.9586081003483614,0.9883560180664063
7,0.0001,0.1075547851436356,0.1075547851436356,0.0,0.09639830365777016,0.9616807161180304,0.9889994303385417
8,0.0001,0.0871339063069827,0.0871339063069827,0.0,0.08419198021292687,0.9600452517018336,0.9886688232421875
9,0.0001,0.07371518423476378,0.07371518423476378,0.0,0.0717153524979949,0.9641376852911104,0.9893508911132812
10,0.0001,0.0620729967621555,0.0620729967621555,0.0,0.06164389215409756,0.9629953123852006,0.9896250406901042
11,0.0001,0.05273172615348797,0.05273172615348797,0.0,0.053232813626527785,0.9682261891746898,0.9907699584960937
12,0.0001,0.04605976235214363,0.04605976235214363,0.0,0.046664238534867765,0.9703544822026311,0.9912216186523437
13,0.0001,0.04035111167919603,0.04035111167919603,0.0,0.04006675723940134,0.9748552091694315,0.9927902221679688
14,0.0001,0.03436530680702664,0.03436530680702664,0.0,0.03474916787818074,0.976649693940895,0.9934865315755208
15,0.0001,0.029439118105164856,0.029439118105164856,0.0,0.03026802046224475,0.9770614974836244,0.9934778849283854
16,0.0001,0.026194106931914252,0.026194106931914252,0.0,0.030884340684860945,0.9760765200501859,0.9932301839192709
17,0.0001,0.023298988330314695,0.023298988330314695,0.0,0.02768815290182829,0.9776704024087639,0.9936258951822917
18,0.0001,0.020483077913935496,0.020483077913935496,0.0,0.026796641014516353,0.9780562987745909,0.9937001546223958
19,0.0001,0.018547092154209303,0.018547092154209303,0.0,0.02522658323869109,0.9777449118430859,0.9936686197916667
20,0.0001,0.016811037913398233,0.016811037913398233,0.0,0.02537596649490297,0.9771524653879083,0.9935328165690104
21,0.0001,0.01541025240562464,0.01541025240562464,0.0,0.02139126365073025,0.9800449408851412,0.994329833984375
22,0.0001,0.014207755757232618,0.014207755757232618,0.0,0.02200948679819703,0.9797814035730917,0.9940775553385417
23,0.0001,0.012492977103368066,0.012492977103368066,0.0,0.019992505991831423,0.9813714131056129,0.9945851643880208
24,0.0001,0.011573231324986904,0.011573231324986904,0.0,0.021352816419675947,0.9785475837876779,0.9940414428710938
25,0.0001,0.010528986615714438,0.010528986615714438,0.0,0.01902663758955896,0.9818702918903245,0.994659423828125
26,0.0001,0.009525182659523639,0.009525182659523639,0.0,0.023975708382204176,0.9780466172034047,0.9934758504231771
27,0.0001,0.009082101326735066,0.009082101326735066,0.0,0.022317517874762417,0.9791069779266132,0.9937596638997396
28,0.0001,0.008625439092145403,0.008625439092145403,0.0,0.020977443363517524,0.9791419434376262,0.993963623046875
29,0.0001,0.007774616227874795,0.007774616227874795,0.0,0.02110920906998217,0.9798504504333422,0.994097900390625
30,0.0001,0.007101972360380634,0.007101972360380634,0.0,0.018030082527548074,0.9819718506539661,0.9947718302408854
31,0.0001,0.00651534467450552,0.00651534467450552,0.0,0.017389870574697854,0.9827439318400458,0.9948984781901041
32,0.0001,0.006009573354243902,0.006009573354243902,0.0,0.018812993820756675,0.982127304304778,0.994586181640625
33,0.0001,0.005668330155932177,0.005668330155932177,0.0,0.01867222646251321,0.9820940249071661,0.9946706136067708
34,0.0001,0.005175141893698733,0.005175141893698733,0.0,0.02008524597622454,0.9808603929315267,0.9943084716796875
35,0.0001,0.0050582622791901025,0.0050582622791901025,0.0,0.02148470198735595,0.9789083853081638,0.9940973917643229
36,0.0001,0.004825607828352178,0.004825607828352178,0.0,0.019444568757899107,0.9814616875700768,0.9945632934570312
37,0.0001,0.004274997113974264,0.004274997113974264,0.0,0.023316704551689327,0.9802048328528165,0.9941416422526042
38,0.0001,0.004113180520931398,0.004113180520931398,0.0,0.016841279156506062,0.9834914896473612,0.9951395670572917
39,0.0001,0.0036935189395750825,0.0036935189395750825,0.0,0.018975066510029136,0.9822017050570345,0.9946446736653646
40,0.0001,0.0036044936708414573,0.0036044936708414573,0.0,0.021427795058116317,0.9817698780648848,0.9945083618164062
41,0.0001,0.003797215499548845,0.003797215499548845,0.0,0.01780657162889838,0.9831797133388172,0.994921875
